entryX,exitX,entryTime,exitTime,entryStatus,entryPrice,exitPrice,profitPips
158,167,2018-08-27 00:55:00,2018-08-27 01:40:00,-1,111.297,111.250,4.2
187,192,2018-08-27 03:20:00,2018-08-27 03:45:00,1,111.302,111.287,-2.0
201,202,2018-08-27 04:30:00,2018-08-27 04:35:00,1,111.194,111.222,2.3
212,215,2018-08-27 05:25:00,2018-08-27 05:40:00,-1,111.018,110.995,1.8
239,241,2018-08-27 07:40:00,2018-08-27 07:50:00,1,111.061,111.076,1.0
270,271,2018-08-27 10:15:00,2018-08-27 10:20:00,1,111.061,111.076,1.0
281,304,2018-08-27 11:10:00,2018-08-27 13:05:00,1,111.119,111.096,-2.8
307,314,2018-08-27 13:20:00,2018-08-27 13:55:00,-1,111.090,111.111,-2.6
318,320,2018-08-27 14:15:00,2018-08-27 14:25:00,-1,111.083,111.058,2.0
330,331,2018-08-27 15:15:00,2018-08-27 15:20:00,-1,111.018,110.970,4.3
357,360,2018-08-27 17:30:00,2018-08-27 17:45:00,1,111.004,111.012,0.3
369,395,2018-08-27 18:30:00,2018-08-27 20:40:00,1,111.052,111.084,2.7
410,429,2018-08-27 21:55:00,2018-08-27 23:30:00,1,111.086,111.071,-2.0
435,445,2018-08-28 00:00:00,2018-08-28 00:50:00,-1,111.059,111.022,3.2
475,476,2018-08-28 03:20:00,2018-08-28 03:25:00,1,111.128,111.169,3.6
485,486,2018-08-28 04:10:00,2018-08-28 04:15:00,1,111.179,111.217,3.3
528,548,2018-08-28 07:45:00,2018-08-28 09:25:00,-1,111.259,111.203,5.1
610,616,2018-08-28 14:35:00,2018-08-28 15:05:00,1,111.086,111.038,-5.3
616,630,2018-08-28 15:05:00,2018-08-28 16:15:00,-1,111.038,111.061,-2.8
630,641,2018-08-28 16:15:00,2018-08-28 17:10:00,1,111.061,111.043,-2.3
645,657,2018-08-28 17:30:00,2018-08-28 18:30:00,1,111.146,111.122,-2.9
665,677,2018-08-28 19:10:00,2018-08-28 20:10:00,-1,111.030,111.043,-1.8
700,702,2018-08-28 22:05:00,2018-08-28 22:15:00,1,111.203,111.233,2.5
710,728,2018-08-28 22:55:00,2018-08-29 00:25:00,1,111.176,111.174,-0.7
733,740,2018-08-29 00:50:00,2018-08-29 01:25:00,-1,111.158,111.172,-1.9
765,793,2018-08-29 03:30:00,2018-08-29 05:50:00,1,111.239,111.266,2.2
821,844,2018-08-29 08:10:00,2018-08-29 10:05:00,-1,111.166,111.202,-4.1
869,870,2018-08-29 12:10:00,2018-08-29 12:15:00,1,111.195,111.207,0.7
882,883,2018-08-29 13:15:00,2018-08-29 13:20:00,1,111.195,111.235,3.5
905,911,2018-08-29 15:10:00,2018-08-29 15:40:00,1,111.245,111.298,4.8
936,938,2018-08-29 17:45:00,2018-08-29 17:55:00,1,111.444,111.522,7.3
972,974,2018-08-29 20:45:00,2018-08-29 20:55:00,1,111.658,111.620,-4.3
994,995,2018-08-29 22:35:00,2018-08-29 22:40:00,1,111.683,111.703,1.5
1024,1037,2018-08-30 01:05:00,2018-08-30 02:10:00,1,111.696,111.721,2.0
1049,1050,2018-08-30 03:10:00,2018-08-30 03:15:00,1,111.683,111.695,0.7
1071,1078,2018-08-30 05:00:00,2018-08-30 05:35:00,-1,111.585,111.610,-3.0
1083,1086,2018-08-30 06:00:00,2018-08-30 06:15:00,-1,111.616,111.627,-1.6
1095,1098,2018-08-30 07:00:00,2018-08-30 07:15:00,1,111.601,111.618,1.2
1108,1112,2018-08-30 08:05:00,2018-08-30 08:25:00,1,111.637,111.656,1.4
1116,1128,2018-08-30 08:45:00,2018-08-30 09:45:00,1,111.641,111.690,4.4
1160,1162,2018-08-30 12:25:00,2018-08-30 12:35:00,1,111.536,111.555,1.4
1170,1182,2018-08-30 13:15:00,2018-08-30 14:15:00,-1,111.543,111.498,4.0
1229,1234,2018-08-30 18:10:00,2018-08-30 18:35:00,-1,111.254,111.232,1.7
1240,1241,2018-08-30 19:05:00,2018-08-30 19:10:00,1,111.192,111.160,-3.7
1260,1267,2018-08-30 20:45:00,2018-08-30 21:20:00,1,111.188,111.081,-11.2
1279,1282,2018-08-30 22:20:00,2018-08-30 22:35:00,1,111.028,111.041,0.8
1282,1296,2018-08-30 22:35:00,2018-08-30 23:45:00,-1,111.041,110.972,6.4
1320,1322,2018-08-31 01:45:00,2018-08-31 01:55:00,1,111.007,111.022,1.0
1352,1357,2018-08-31 04:25:00,2018-08-31 04:50:00,1,111.011,111.001,-1.5
1362,1375,2018-08-31 05:15:00,2018-08-31 06:20:00,-1,110.971,111.017,-5.1
1380,1385,2018-08-31 06:45:00,2018-08-31 07:10:00,-1,110.987,110.968,1.4
1418,1419,2018-08-31 09:55:00,2018-08-31 10:00:00,1,110.981,110.993,0.7
1441,1451,2018-08-31 11:50:00,2018-08-31 12:40:00,-1,110.761,110.786,-3.0
1456,1489,2018-08-31 13:05:00,2018-08-31 15:50:00,1,110.778,110.805,2.2
1511,1515,2018-08-31 17:40:00,2018-08-31 18:00:00,1,110.846,110.867,1.6
1521,1522,2018-08-31 18:30:00,2018-08-31 18:35:00,1,110.833,110.865,2.7
1536,1537,2018-08-31 19:45:00,2018-08-31 19:50:00,1,110.971,110.986,1.0
1541,1550,2018-08-31 20:10:00,2018-08-31 20:55:00,1,111.024,110.977,-5.2
1558,1559,2018-08-31 21:35:00,2018-08-31 21:40:00,1,110.924,110.944,1.5
